Latitude,Longitude,Cluster
44.2517776,-76.9495126,77
45.3686635,-71.8604675,94
45.5107786,-61.01257504,30
45.51586369,-75.38949031,95
46.826677,-71.230048,59
46.39496,-72.660903,88
45.538159,-73.5692953,-1
47.373197,-70.399783,57
46.81233592,-71.20312002,59
46.81401945,-71.20649363,59
46.81508385,-71.20246133,59
46.81306228,-71.20304766,59
43.5642691,-79.68601744,132
48.369878,-53.359843,10
45.51545871,-75.39002401,95
43.51206181,-79.61145101,132
48.4830298,-123.3933083,70
49.206046,-66.171304,-1
50.6913213,-121.9371392,-1
43.1635017,-79.2507939,118
43.24919242,-79.07614505,117
43.5619924,-79.6166427,132
45.3133923,-71.8245282,94
45.5609056,-82.0109754,15
49.88775755,-97.27184025,-1
47.421312,-54.8797459,8
45.6266206,-62.7654246,39
44.5788477,-76.3193853,-1
45.51745531,-75.39184465,95
47.6185227,-52.6914631,13
42.9792875,-81.2626038,108
46.08723913,-64.64131955,45
42.85517095,-80.7179492,112
51.01423945,-114.1162943,84
44.5413327,-64.2426915,34
43.6868095,-79.7578145,136
53.5470218,-113.4913987,107
45.27448296,-66.06134497,32
45.3132508,-63.6045096,36
43.18799,-81.4038751,-1
44.28883154,-64.3518098,34
52.0807053,-109.3905355,60
46.13693274,-64.90157528,45
49.3432489,-123.0187218,-1
56.8525074,-101.0522882,-1
49.33827349,-123.0372858,-1
50.23153515,-121.582651,-1
48.238187,-79.022693,19
44.0071927,-77.13226329,78
60.72105795,-135.0516172,1
46.1342687,-61.14154656,30
45.51635529,-75.38960022,95
55.3381525,-123.0885229,-1
58.5134411,-117.1446707,-1
43.65568055,-79.37845439,142
43.16224036,-79.05384828,118
52.3361882,-109.9419837,-1
44.29637463,-76.3140067,77
45.51503652,-75.38993812,95
51.3272022,-107.0839923,67
45.3574153,-77.6117599,-1
45.67800512,-79.69911317,50
44.4488931,-64.387173,34
50.583333,-107.35,67
46.005145,-59.846282,31
45.51571853,-75.38932726,95
47.3564708,-68.2322011,40
50.2384497,-63.6088761,-1
47.3318388,-79.4426042,19
46.0294974,-74.2081804,-1
46.22310326,-72.62349592,87
49.8902247,-97.1110254,101
46.8562818,-71.3551631,59
45.79248859,-63.32746134,38
49.842194,-99.9618249,85
49.9753411,-101.2365875,71
49.8874593,-97.1293514,101
49.8572066,-97.1553216,-1
49.90696705,-97.12962458,101
49.9004774,-97.1345522,101
45.645927,-74.945832,72
49.6378194,-102.4894395,71
49.21037198,-122.5975721,89
46.3558707,-60.9715383,-1
50.1463847,-96.86538677,-1
44.21866851,-76.51761362,77
44.22559684,-76.48386838,77
43.9209803,-77.0531279,78
45.9085885,-64.3760357,44
48.4224865,-123.3665461,70
44.64761745,-63.57096994,41
43.89358,-79.26513907,137
49.204115,-98.8948563,-1
42.10288595,-83.11280809,82
46.8045059,-79.8016052,-1
44.73114575,-79.87109142,97
48.9386195,-55.6590189,7
47.1508894,-55.2223939,8
46.21013171,-82.0790881,15
49.0960503,-99.3400468,86
44.9010976,-76.25045451,75
46.3188557,-78.7079937,37
45.50775,-73.579707,-1
43.89405735,-79.26746598,137
49.4282311,-106.8317639,66
45.67646232,-62.72245796,39
45.47751702,-76.69376264,73
43.26263647,-79.91812559,135
44.60978739,-80.58976885,103
55.0194904,-128.3186839,4
50.0315709,-110.6498835,-1
52.8563522,-104.6137083,-1
50.9377763,-102.8204529,-1
44.76618,-62.94958006,41
49.03489975,-122.336066,74
49.55167405,-96.68691413,-1
